Assigned airport,# Flights,CO2 RFI2.7 (t)
OUL,1,0.1
OVB,4,2
PAD,2,0.2
PAP,2,0.7
PBI,2,0.6
PDX,15,13.2
PEE,1,0.2
PEI,1,0
PEK,243,407.1
PEN,6,0.3
PER,4,5.8
PHF,1,0.1
PHL,30,34.9
PHX,27,37.9
PIT,25,15.1
PMI,9,1.3
PMO,16,2.8
POL,1,0.5
POZ,6,1
PPT,2,18.3
PRG,63,7.6
PRN,42,8.4
PSA,12,1
PSC,1,0.4
PSP,4,0.7
PSR,1,0.1
PTP,8,9.1
PTY,4,5.2
PUF,1,0.2
PUJ,2,3.1
PUS,8,2.5
PUY,1,0.2
PVD,2,0.5
PVG,93,213.4
QDU,1,0
QKL,2,0.1
QRH,2,0.1
RAK,27,9.1
RBA,4,1.4
RDU,11,9.3
RHO,6,0.7
RIX,17,4.4
RNO,1,0.2
RNS,7,0.8
RUH,4,1.1
RZE,2,0.2
SAL,1,0.2
SAN,63,114.1
SAT,3,0.9
SAW,31,11.5
SBA,6,1.9
SCE,3,0.2
SCL,32,82.1
SCQ,2,0.4
SDF,3,0.7
SDQ,2,2.5
SDV,1,0
SEA,107,188.8
SFJ,12,6.9
SFO,463,964.5
SGN,12,8.6
SHA,6,2.1
SIN,150,398.3
SJC,8,11.7
SJO,3,5.2
SJU,3,1.9
SKG,10,1.1
SLA,1,0.3
SLC,18,16
SNA,3,1.5
SOF,6,1.4
SOU,1,0
SPC,2,0.7
SPU,59,8.4
STL,6,2.2
STN,30,4.3
STR,12,0.8
SUF,2,0.2
SVO,65,31.8
SVQ,17,2.7
SVX,4,1.7
SXB,1,0.1
SXF,201,30
SYD,16,32.8
SZG,2,0.1
SZX,8,14.5
TAE,1,0
TAO,1,1.6
TAS,1,0.7
TAY,1,0
TBS,1,0.2
TEX,1,0.1
TGD,5,1.1
TGU,1,0.1
TIA,1,0.3
TIJ,2,1
TIV,3,0.7
TKU,1,0
TLL,2,0.1
TLN,1,0.2
TLS,40,4.1
TLV,180,84.8
TMP,1,0
TOS,12,2.6
TOY,1,0
TPA,13,20.1
TPE,22,29.9
TRC,1,0.3
TRD,21,6.1
TRN,2,0.4
TRS,8,0.7
TSA,2,0.3
TSE,4,3.7
TUC,1,0.2
TUN,3,0.7
TUS,6,1.8
TXL,100,14
TYS,2,0.7
UIH,7,0.8
UKB,1,0.1
ULH,2,0.4
ULY,1,0.2
UME,3,0.3
VAR,1,0.2
VBY,4,0.1
VCE,41,4.4
VGO,3,0.4
VIE,348,64.4
VLC,26,4.9
VNO,4,0.8
VRN,1,0.1
VXO,2,0.2
WAW,114,33.6
WDH,1,0.3
WLG,4,2.8
WRO,4,0.4
WUH,7,12.2
XDB,5,0.1
XIY,12,10.3
XMN,1,0.1
XQA,1,
XRY,1,0.1
YEG,1,0.2
YFC,1,0.1
YGJ,1,0.1
YIW,1,0.2
YOW,6,0.4
YQB,4,0.1
YTZ,3,0.2
YUL,325,392.9
YVR,119,196.3
YWG,1,0.4
YYC,27,29.4
YYZ,136,185.1
ZAG,28,2.2
ZFV,1,0
ZQN,1,0.2
ZRH,364,14.3
ZVE,2,0.1
ZYR,3,0.2
